"employee_number","attrition","age","monthly_income","department","job_level","job_role","gender","marital_status","distance_from_home","education","business_travel","over_time","job_satisfaction","environment_satisfaction","job_involvement","performance_rating","relationship_satisfaction","total_working_years","stock_option_level","training_times_last_year","work_life_balance","years_at_company","years_in_current_role","years_since_last_promotion","years_with_curr_manager"
1,"1",41,5993,"Sales",2,"Sales Executive","Female","Single",1,2,"Travel_Rarely","Yes",4,2,3,3,1,8,0,0,1,6,4,0,5
4,"1",37,2090,"Research & Development",1,"Laboratory Technician","Male","Single",2,2,"Travel_Rarely","Yes",3,4,2,3,2,7,0,3,3,0,0,0,0
8,"0",32,3068,"Research & Development",1,"Laboratory Technician","Male","Single",2,2,"Travel_Frequently","No",4,4,3,3,3,8,0,2,2,7,7,3,6
10,"0",59,2670,"Research & Development",1,"Laboratory Technician","Female","Married",3,3,"Travel_Rarely","Yes",1,3,4,4,1,12,3,3,2,1,0,0,0
12,"0",38,9526,"Research & Development",3,"Manufacturing Director","Male","Single",23,3,"Travel_Frequently","No",3,4,2,4,2,10,0,2,3,9,7,1,8
13,"0",36,5237,"Research & Development",2,"Healthcare Representative","Male","Married",27,3,"Travel_Rarely","No",3,3,3,3,2,17,2,3,2,7,7,7,7
15,"0",29,4193,"Research & Development",2,"Laboratory Technician","Female","Single",15,2,"Travel_Rarely","Yes",3,4,2,3,4,10,0,3,3,9,5,0,8
16,"0",31,2911,"Research & Development",1,"Research Scientist","Male","Divorced",26,1,"Travel_Rarely","No",3,1,3,3,4,5,1,1,2,5,2,4,3
18,"0",34,2661,"Research & Development",1,"Laboratory Technician","Male","Divorced",19,2,"Travel_Rarely","No",4,2,3,3,3,3,1,2,3,2,2,1,2
19,"1",28,2028,"Research & Development",1,"Laboratory Technician","Male","Single",24,3,"Travel_Rarely","Yes",3,3,2,3,2,6,0,4,3,4,2,0,3
21,"0",32,3298,"Research & Development",1,"Research Scientist","Male","Divorced",5,2,"Travel_Rarely","Yes",2,1,4,3,4,7,2,5,2,6,2,0,5
22,"0",22,2935,"Research & Development",1,"Laboratory Technician","Male","Divorced",16,2,"Non-Travel","Yes",4,4,4,3,2,1,2,2,2,1,0,0,0
23,"0",53,15427,"Sales",4,"Manager","Female","Married",2,4,"Travel_Rarely","No",4,1,2,3,3,31,0,3,3,25,8,3,7
27,"1",36,3407,"Sales",1,"Sales Representative","Male","Single",9,4,"Travel_Rarely","No",1,3,2,4,2,10,0,4,3,5,3,0,3
28,"0",34,11994,"Research & Development",3,"Research Director","Female","Single",7,4,"Travel_Rarely","No",2,1,3,3,3,13,0,4,3,12,6,2,11
31,"1",34,2960,"Research & Development",1,"Research Scientist","Male","Single",6,1,"Travel_Rarely","No",1,2,3,3,3,8,0,2,3,4,2,1,3
32,"0",53,19094,"Research & Development",5,"Manager","Female","Divorced",5,3,"Travel_Rarely","No",3,3,3,3,4,26,1,3,2,14,13,4,8
33,"1",32,3919,"Research & Development",1,"Research Scientist","Female","Single",16,1,"Travel_Frequently","Yes",1,2,1,4,2,10,0,5,3,10,2,6,7
35,"0",42,6825,"Sales",2,"Sales Executive","Male","Married",8,4,"Travel_Rarely","No",2,3,3,3,4,10,1,2,3,9,7,4,2
36,"0",44,10248,"Research & Development",3,"Healthcare Representative","Female","Married",7,4,"Travel_Rarely","No",4,1,2,3,4,24,1,4,3,22,6,5,17
38,"0",46,18947,"Sales",5,"Manager","Female","Single",2,4,"Travel_Rarely","No",1,2,3,3,4,22,0,2,2,2,2,2,1
41,"0",30,2206,"Research & Development",1,"Laboratory Technician","Male","Single",9,2,"Travel_Rarely","No",3,4,2,3,1,10,0,5,3,10,0,1,8
42,"1",39,2086,"Sales",2,"Sales Representative","Male","Married",5,3,"Travel_Rarely","No",4,4,3,3,3,19,1,6,4,1,0,0,0
45,"1",24,2293,"Research & Development",1,"Research Scientist","Male","Married",1,3,"Travel_Rarely","Yes",4,2,3,3,1,6,1,2,2,2,0,2,0
46,"0",43,2645,"Research & Development",1,"Research Scientist","Female","Divorced",2,2,"Travel_Rarely","No",3,4,4,3,4,6,2,3,2,5,3,1,4
47,"1",50,2683,"Sales",1,"Sales Representative","Male","Married",3,2,"Travel_Rarely","Yes",3,1,2,3,3,3,0,2,3,3,2,0,2
49,"0",35,2014,"Sales",1,"Sales Representative","Female","Married",2,3,"Travel_Rarely","No",4,4,3,3,1,2,0,3,3,2,2,2,2
51,"0",36,3419,"Research & Development",1,"Research Scientist","Female","Married",5,4,"Travel_Rarely","Yes",1,2,2,3,4,6,1,3,4,1,1,0,0
52,"0",33,5376,"Sales",2,"Sales Executive","Female","Married",1,3,"Travel_Frequently","No",1,3,4,3,1,10,2,3,3,5,3,1,3
53,"0",35,1951,"Research & Development",1,"Laboratory Technician","Male","Divorced",4,2,"Travel_Rarely","No",4,3,3,3,3,1,1,3,3,1,0,0,0
54,"0",27,2341,"Research & Development",1,"Laboratory Technician","Female","Divorced",2,4,"Travel_Rarely","No",1,4,3,3,4,1,1,6,3,1,0,0,0
55,"1",26,2293,"Research & Development",1,"Laboratory Technician","Male","Single",25,3,"Travel_Rarely","No",3,1,1,3,3,1,0,2,2,1,0,0,1
56,"0",27,8726,"Sales",3,"Sales Executive","Male","Single",8,3,"Travel_Frequently","No",3,4,3,3,4,9,0,0,3,9,8,1,7
57,"0",30,4011,"Research & Development",2,"Laboratory Technician","Female","Single",1,2,"Travel_Frequently","No",4,3,3,4,4,12,0,2,3,12,8,3,7
